PatchID,X,Y,Season
1,56758.45394,381341.8208,winter
2,122059.2472,-736422.8516,summer
3,338102.6853,-1366704.895,winter
4,-253798.3533,279406.7349,winter
5,-347344.1237,-1226931.373,winter
6,-487717.4659,-729240.3386,summer
7,-811616.8634,-376900.537,winter
8,-168382.0203,-625245.7533,summer
9,-13432.88572,466595.3015,winter
10,-54097.13831,412717.3127,summer
11,167746.5251,-473515.3538,winter
12,-488911.7714,-442226.7834,winter
13,-639791.6009,-208960.2013,summer
14,68222.41714,-88719.87843,summer
15,148036.8078,-185805.2191,winter
16,234030.1371,-1704046.376,winter
17,40608.09729,-1397186.425,winter
18,30334.53548,667284.8501,summer
19,-449394.4292,-121093.3935,summer
20,-1503771.641,444502.6321,summer
21,85000.48324,-882455.5446,summer
22,-1095910.274,-762664.4736,winter
23,-579289.0056,-669052.3534,winter
24,-554882.3673,162929.5893,summer
25,-100782.9361,-595804.2941,winter
26,-1278261.152,265246.0266,summer
27,-630413.7693,-753525.7232,summer
28,3953.933623,-908038.2859,summer
29,-911031.5252,-211578.0699,summer
30,-675899.8122,-361060.5334,winter
31,-195957.2118,-555162.8139,winter
32,-964586.7275,195422.4986,summer
33,10970.62741,441520.7699,summer
34,-996290.3848,81471.32405,winter
35,-707151.5378,-585406.9858,summer
36,15171.45369,-735703.2141,summer
37,-768862.9582,-336841.2039,winter
38,-795074.9687,-292345.2116,summer
39,-356074.6805,-188157.7303,winter
40,-362899.2605,-798910.5605,winter
41,136928.0727,-175283.8832,summer
42,-441601.8143,-945357.8334,winter
43,-19328.93975,-283812.7952,winter
44,143876.8238,474925.927,summer
45,-377658.2027,-630442.8287,winter
46,-512503.9779,-377177.2097,winter
47,-141051.7758,-1469014.769,winter
48,-52565.66937,-358468.1197,summer
49,-28379.49267,-349985.861,summer
50,-461024.1736,-947658.4692,winter
51,-449973.5833,-40440.89648,summer
52,-565638.3341,-464090.3415,summer
53,-1422325.353,-23209.75852,winter
54,-960143.922,49879.10697,summer
55,164905.8369,-253907.3648,winter
56,389918.0706,-1611673.791,winter
57,-513366.1414,-719865.8633,summer
58,-383430.1935,-1017217.185,winter
59,271819.5057,-1493472.736,summer
60,-197523.2111,-125776.5527,winter
61,-965672.6843,219824.2669,summer
62,-1382992.056,566506.7331,winter
63,-159886.8312,-605506.5271,winter
64,143248.9476,-1292343.898,summer
65,-161288.9271,-735575.0024,winter
66,-1085930.919,223688.9139,summer
67,-437075.5548,284710.2537,summer
68,-144227.4406,-578483.4639,summer
69,-9557.570169,-718452.4035,summer
70,-1689932.148,427283.0355,winter
71,-1100543.768,-791387.9899,summer
72,-531060.8067,-1259715.42,summer
73,219758.0077,-236051.2697,winter
74,-870217.168,-352280.8003,summer
75,-299993.5193,-71281.93557,summer
76,-768886.7642,-761492.6416,summer
77,-207791.6692,492111.7832,winter
78,-763079.6065,-78909.04959,winter
79,185859.9901,-1426728.827,winter
80,-393927.6263,-1278131.756,winter
81,-323068.7436,-1221387.185,summer
82,-334730.441,333939.6593,summer
83,-1820995.163,488350.4412,winter
84,-171682.0633,-619513.9564,winter
85,-18819.33775,-711539.8494,winter
86,-523433.7551,-586632.5003,summer
87,-595729.8143,90751.21634,winter
88,-1121538.646,-161464.1787,winter
89,203618.0078,-246304.5116,summer
90,-558759.7727,-596665.6744,winter
91,-18128.40844,-1000502.993,summer
92,-446783.5623,-818797.0927,winter
93,-577558.7331,-188722.2436,summer
94,-292528.4177,-1031942.996,winter
95,-26614.75891,-1231260.954,winter
96,-50436.67817,173094.9828,summer
97,295558.3756,264719.7911,summer
98,-112647.9776,-832725.5551,summer
99,-540988.7596,-886972.8422,summer
100,-74636.22471,-405997.1437,winter